,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,ma10,ma_v_10,ma20,ma_v_20,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120,ma250,ma_v_250
36,20200908,000007.SZ,9.36,9.41,9.15,9.27,9.14,0.129999999999999,1.4223,79336.78,73730.973,2.568,9.137,62508.889,9.0835,58446.8035,8.9563,60023.0107,8.9225,63195.4807,8.5042,56454.5459,,
37,20200907,000007.SZ,9.25,9.68,9.11,9.14,9.25,-0.10999999999999943,-1.1892,66815.99,62513.289,2.1627,9.103,57653.768,9.068,57582.8755,8.9313,58424.5083,8.9025,62541.3657,8.4946,56280.8543,,
38,20200904,000007.SZ,9.03,9.25,8.85,9.25,9.05,0.1999999999999993,2.2099,71686.72,65214.101,2.3203,9.085,53229.164,9.0525,56826.051,8.911,57387.2417,8.884,61744.0492,8.4884,56300.9838,,
39,20200903,000007.SZ,9.24,9.24,9.04,9.05,9.2,-0.14999999999999858,-1.6304,28705.1,26203.928,0.9291,9.065,49884.842,9.0215,55442.6475,8.8877,55961.2473,8.864,60880.1872,8.4822,56282.4231,,
40,20200902,000007.SZ,9.03,9.22,8.99,9.2,9.02,0.17999999999999972,1.9956,75341.01,69002.197,2.4386,9.08,54130.711,9.0,56746.2425,8.871,55877.592,8.8475,60830.419,8.4808,56774.2797,,
41,20200901,000007.SZ,9.0,9.1,8.99,9.02,9.08,-0.0600000000000005,-0.6608,29554.51,26687.568,0.9566,9.067,51933.21,8.9735,54980.0445,8.854,54551.6253,8.8288,60672.5625,8.48,57287.2027,,
42,20200831,000007.SZ,9.05,9.19,8.98,9.08,9.1,-0.019999999999999574,-0.2198,39090.01,35449.113,1.2653,9.068,53121.119,8.962,58608.919,8.842,54282.328,8.8165,62312.0187,8.4834,58383.0004,,
43,20200828,000007.SZ,9.08,9.3,9.0,9.1,9.1,0.0,0.0,51228.11,46951.756,1.6581,9.077,54853.145,8.949,62193.728,8.8277,53834.594,8.8005,62947.7213,8.4845,59116.3162,,
44,20200827,000007.SZ,9.15,9.23,8.9,9.1,9.16,-0.0600000000000005,-0.655,91632.37,83304.679,2.9659,9.085,58148.984,8.924,62532.8565,8.8087,53329.857,8.7838,64263.1093,8.4842,59283.1258,,
45,20200826,000007.SZ,8.92,9.28,8.86,9.16,8.93,0.23000000000000043,2.5756,91698.29,83330.982,2.9681,9.075,56365.692,8.897,62091.162,8.7987,52543.825,8.7755,64629.5753,8.4834,59379.9077,,
